pack_id,image_url,nom_pack,type,description,prix_total,categorie
11,images\Défilésdemodeouévénementsfashion.png,Défilés de mode ou événements fashion Pack Standard,standard,"Organisation de défilés de mode et événements fashion. Podiums, éclairage, fonds et décoration adaptés à la mode. Idéal pour lancements de marque, présentations, shootings. Esthétique soignée pour valoriser les créations. Ambiance élégante et professionnelle. Mise en scène sur mesure pour un impact visuel fort.",860000,Mode
12,images\Défilésdemodeouévénementsfashion.png,Défilés de mode ou événements fashion Pack Premium,premium,"Organisation de défilés de mode et événements fashion. Podiums, éclairage, fonds et décoration adaptés à la mode. Idéal pour lancements de marque, présentations, shootings. Esthétique soignée pour valoriser les créations. Ambiance élégante et professionnelle. Mise en scène sur mesure pour un impact visuel fort.",2095000,Mode
13,images\Inaugurations.png,Inaugurations – Pack Standard,standard,"Organisation complète d'inaugurations professionnelles. Idéal pour magasins, bureaux, showrooms, projets publics. Arche d'accueil, mobilier, éclairage, zone photo. Décoration sur mesure selon votre identité visuelle. Mise en scène soignée et ambiance élégante. Accompagnement pour un lancement réussi.",900000,Inauguration
14,images\Inaugurations.png,Inaugurations – Pack Premium,premium,"Organisation complète d'inaugurations professionnelles. Idéal pour magasins, bureaux, showrooms, projets publics. Arche d'accueil, mobilier, éclairage, zone photo. Décoration sur mesure selon votre identité visuelle. Mise en scène soignée et ambiance élégante. Accompagnement pour un lancement réussi.",1915000,Inauguration
15,images\Lancementsdeproduitsoudemarques.png,Lancements de produits ou de marques – Pack Standard,standard,Organisation de lancements de produits ou de marques. Aménagement complet et décoration personnalisée. Mise en valeur de votre identité visuelle. Zone de présentation avec mobilier et éclairage adaptés. Création d'une ambiance immersive et professionnelle. Idéal pour attirer l'attention et séduire votre public.,934000,Lancement de produit
16,images\Lancementsdeproduitsoudemarques.png,Lancements de produits ou de marques – Pack Premium,premium,Organisation de lancements de produits ou de marques. Aménagement complet et décoration personnalisée. Mise en valeur de votre identité visuelle. Zone de présentation avec mobilier et éclairage adaptés. Création d'une ambiance immersive et professionnelle. Idéal pour attirer l'attention et séduire votre public.,1768000,Lancement de produit
17,images\Fêtesprivées.png,Fêtes privées – Pack Premium,premium,"Organisation de fêtes privées sur mesure. Décoration personnalisée selon votre thème. Éclairage, mobilier et ambiance festive. Zones photo et espaces conviviaux. Idéal pour anniversaires, fiançailles, baptêmes. Expérience intime et mémorable pour vos invités.",1535000,Fête
18,images\Congrèsetsalonsprofessionnels.png,Congrès et salons professionnels – Pack Standard,standard,"Organisation de congrès et salons professionnels. Aménagement sur mesure (stands, zones d'accueil, mobilier). Décoration et signalétique adaptées à votre image. Éclairage professionnel et ambiance soignée. Espaces pensés pour les échanges et la visibilité. Idéal pour exposants et organisateurs.",1064000,Salon professionnel
19,images\Congrèsetsalonsprofessionnels.png,Congrès et salons professionnels – Pack Premium,premium,"Organisation de congrès et salons professionnels avec options haut de gamme. Zone photo, stands décorés, mobilier premium, ambiance immersive. Pour exposants recherchant impact visuel et confort maximal.",1854000,Salon professionnel
20,images\Réceptionsd'entreprise&séminaires.png,Réceptions d'entreprise & séminaires – Pack Standard,standard,"Organisation de séminaires et réceptions d'entreprise. Mobilier, décoration et agencement personnalisés. Espaces adaptés aux conférences et aux échanges. Éclairage, signalétique et ambiance professionnelle.",870000,Entreprise
21,images\Réceptionsd'entreprise&séminaires.png,Réceptions d'entreprise & séminaires – Pack Premium,premium,"Organisation premium de séminaires. Mobilier haut de gamme, zone photo, ambiance raffinée. Pour entreprises souhaitant marquer les esprits avec élégance et innovation.",1810000,Entreprise
22,images\Fêtesprivées.png,Fêtes privées – Pack Standard,standard,"Organisation de fêtes privées sur mesure. Éclairage, décoration, ambiance conviviale. Zone photo et animation festive. Pour anniversaires, fiançailles, baptêmes avec budget modéré.",995000,Fête
23,images\Mariages.png,Mariages – Pack Standard,standard,"Organisation et décoration complète de mariages. Arches florales, bougies, éclairage romantique. Tables raffinées et mobilier haut de gamme. Ambiance personnalisée et immersive. Espaces photo, signalétique, zones de détente.",1885000,Mariage
24,images\Mariages.png,Mariages – Pack Premium,premium,"Organisation et décoration complète de mariages avec éléments haut de gamme. Fonds lumineux, arches fleuries, mobilier raffiné. Pour un jour inoubliable.",1998000,Mariage
25,images\Fiançailles.png,Fiançailles – Pack Standard,standard,"Organisation de fiançailles personnalisées avec arches, bougies, tables décorées et zone photo. Ambiance romantique et élégante.",1010000,Fiançailles
26,images\Fiançailles.png,Fiançailles – Pack Premium,premium,"Fiançailles de prestige avec décoration florale, mobilier traditionnel, ambiance chaleureuse et coin photo haut de gamme.",1200000,Fiançailles
27,images\Fêtesdecirconcision.png,Fêtes de circoncision – Pack Standard,standard,"Fête de circoncision personnalisée. Ballons, mascotte, décoration thématique, zone photo, cadeaux. Ambiance festive et adaptée aux enfants.",1022000,Circoncision
28,images\Fêtesdecirconcision.png,Fêtes de circoncision – Pack Premium,premium,"Décoration immersive pour circoncision. Coin animation, fond 3D, arches personnalisées, pack cadeaux. Thème enfantin original et interactif.",1335000,Circoncision
29,images\Fêtesdenaissanceoubabyshowers.png,Fêtes de naissance ou baby showers – Pack Standard,standard,"Organisation de baby showers avec thème fille\garçon, arches, guirlandes, ambiance festive et familiale.",207000,Baby Shower
30,images\Fêtesdenaissanceoubabyshowers.png,Fêtes de naissance ou baby showers – Pack Premium,premium,"Baby shower premium avec décor interactif, arche artistique, photo lumineuse, ambiance douce et personnalisée.",477000,Baby Shower
